startYear	YearMinMax	overviewNLP	genres1	leading_role	second_role	third_role	leading_director	production_companies_name_hash_0	directors_hash_1	Title	genres_hash_0	genres_hash_1	genres_hash_2
1966	13.141592920353897	war ended long time ago heroine film former pilot years filled genuine meaning deeply feels discord reality lack contact daughter n't manage adapt peaceful everyday life n't lose piercing desire fly ...	Drama	Mayya Bulgakova	Zhanna Bolotova	Panteleymon Krymov	Larisa Shepitko	0.0	0.0	Les ailes	0.0	0.0	0.0
1962	12.18584070796459	woman found murdered house along coast brighton local detectives fellows wilks lead investigation methodically following leads clues mostly brighton hove also afield	Crime	Jack Warner	Ronald Lewis	Yolande Donlan	Val Guest	-1.0	0.0	Le mystère de la villa blanche	0.0	0.0	0.0
2003	21.982300884955666	playing outside one day nine - year - old michele discovers filippo chained ground bottom hole michele witnesses town baddie felice nearby suspects something bad happening michele unsure tell discovery eventually spilling beans closest friend michele 's parents learn discovery warn forget saw	Crime	Aitana Sánchez-Gijón	Dino Abbrescia	Giorgio Careccia	Gabriele Salvatores	0.0	0.0	Io non ho paura	0.0	1.0	0.0
1934	5.495575221238939	husband wife detective team takes search missing inventor almost get killed efforts	Comedy	William Powell	Myrna Loy	"""Maureen OSullivan"""	W.S. Van Dyke	-1.0	0.0	L'introuvable	0.0	0.0	0.0
1998	20.787610619468957	story two chinese immigrants ' struggles america yuan liu lived la years stable job family lives wagon seems content life day meets qing li woman big ` ` american dream ''	Comedy	You Ge	Fan Xu	Bobby C. King	Xiaogang Feng	0.0	0.0	Se disperser invisiblement	0.0	0.0	0.0
2021	26.283185840707898	operating movie capital ` ` nyallywood '' pompo shooting one b - grade entertainment flick another anyone would enjoy one day pompo 's ` ` movie buff '' assistant gene spots new script written pompo moved exquisite story fit passion proclaims ` ` want see finished work theaters soon possible ! '' however pompo tells ` ` shoot film '' thus gene takes first directing gig meanwhile natalie ordinary girl arrived town movie actress dreams discovered pompo ...	Animation	Hiroya Shimizu	Konomi Kohara	Ai Kakuma	Takayuki Hirao	0.0	0.0	Pompo the Cinephile	0.0	0.0	0.0
1966	13.141592920353897	young german woman searches happiness liberation independence illusive wake transformative national recovery	Drama	Alexandra Kluge	Günter Mack	Eva Maria Meineke	Alexander Kluge	0.0	0.0	Anita G.	0.0	0.0	0.0
1946	8.36283185840706	1946 war movie tells courageous efforts french railway workers sabotage nazi reinforcement - troop trains	Drama	Marcel Barnault	Jean Clarieux	Jean Daurand	René Clément	0.0	0.0	La bataille du rail	0.0	0.0	0.0
1952	9.796460176991076	mismatched couple 's marital problems come surface husband develops interest pretty boarder	Drama	Burt Lancaster	Shirley Booth	Terry Moore	Daniel Mann	0.0	-1.0	Reviens petite Sheba	0.0	0.0	0.0
1925	3.3451327433628237	three sideshow performers form conspiracy known ` ` unholy three '' ventriloquist midget strongman working together commit series robberies	Crime	Lon Chaney	Mae Busch	Matt Moore	Tod Browning	-1.0	-1.0	Le club des 3	0.0	0.0	0.0
1976	15.530973451327416	mentally unstable vietnam war veteran works night - time taxi driver new york city perceived decadence sleaze feed urge violent action	Crime	Robert De Niro	Jodie Foster	Cybill Shepherd	Martin Scorsese	0.0	0.0	Taxi Driver	0.0	0.0	0.0
1993	19.592920353982247	julie haunted grief living tragic auto wreck claimed life composer husband young daughter initial reaction withdraw relationships lock apartment suppress pain avoiding human interactions bustling streets paris proves impossible eventually meets olivier old friend harbors secret love could draw back reality	Drama	Juliette Binoche	Zbigniew Zamachowski	Julie Delpy	Krzysztof Kieslowski	0.0	0.0	Trois couleurs: Bleu	0.0	0.0	0.0
2014	24.61061946902649	trial story viviane amsalem 's five year fight obtain divorce front legal authority competent divorce cases israel rabbinical court	Drama	Ronit Elkabetz	Simon Abkarian	Gabi Amrani	Ronit Elkabetz	-1.0	0.0	Le Procès de Viviane Amsalem	0.0	0.0	0.0
1952	9.796460176991076	rakel marta karin annette married four brothers waiting summer cottage husbands come home tell stories marriages rakel tells time affair confronted husband marta 's story first refused marry child karin tells happened one time husband got stuck elevator together women tell stories marta 's younger sister maj planning elope	Comedy	Anita Björk	Eva Dahlbeck	Maj-Britt Nilsson	Ingmar Bergman	0.0	0.0	L'attente des femmes	0.0	0.0	0.0
2019	25.805309734513195	teacher search inspiration travels remote school world ends realizing important job appreciating value yak dung	Drama	Sherab Dorji	Ugyen Norbu Lhendup	Kelden Lhamo Gurung	Pawo Choyning Dorji	0.0	0.0	L'école du bout du monde	0.0	0.0	0.0
2012	24.132743362831782	unlikely friendship forms 21 year - old jane elderly sadie jane discovers hidden stash money inside object sadie 's yard sale	Drama	Dree Hemingway	Besedka Johnson	Boonee	Sean Baker	0.0	0.0	Starlet	0.0	0.0	0.0
1985	17.68141592920353	story straight - edge literature professor vivian travels reno get away relationship breakup falls love attractive unconventional girl named cay	Drama	Helen Shaver	Patricia Charbonneau	Audra Lindley	Donna Deitch	0.0	0.0	Desert Hearts	0.0	0.0	0.0
2013	24.37168141592918	follow - up tv trilogy “ heimat ” time cinemas set fictional village schabbach hunsrück region rhineland - palatinate	Drama	Jan Dieter Schneider	Antonia Bill	Maximilian Scheidt	Edgar Reitz	-1.0	0.0	Heimat: Chronique d'un rêve	0.0	0.0	0.0
2011	23.89380530973448	comedy chronicles chance encounter robert chinese named jun wanders lost city buenos aires search uncle assaulted taxi driver henchmen	Comedy	Ricardo Darín	Ignacio Huang	Carolina Hsu	Sebastián Borensztein	0.0	0.0	El Chino	0.0	0.0	0.0
1968	13.619469026548604	aftermath bay pigs incident sergio chooses stay behind cuba wife family escape neighboring miami alone brave new world sergio observes constant threat foreign invasion chasing young women havana finally meets elena young virgin girl seeks mould image ex - wife cost ?	Drama	Sergio Corrieri	Daisy Granados	Eslinda Núñez	Tomás Gutiérrez Alea	0.0	0.0	Mémoires du sous-développement	0.0	0.0	0.0
1973	14.814159292035313	eric gifted sculptor stormy erotic star - crossed romance beautiful young woman named olga	Drama	Monique van de Ven	Rutger Hauer	Tonny Huurdeman	Paul Verhoeven	0.0	0.0	Turkish délices	0.0	0.0	0.0
2000	21.26548672566366	tomasz doctor atheist diagnosed cancer ex - wife offers money treatment paris lung cancer past operating stage facing imminent death questions beliefs held life starts experimenting life others	Drama	Zbigniew Zapasiewicz	Krystyna Janda	Tadeusz Bradecki	Krzysztof Zanussi	0.0	0.0	La Vie comme maladie mortelle sexuellement transmissible	0.0	0.0	0.0
2014	24.61061946902649	vampire housemates try cope complexities modern life show newly turned hipster perks undead	Comedy	Jemaine Clement	Taika Waititi	Cori Gonzalez-Macuer	Jemaine Clement	0.0	0.0	Vampires en toute intimité	1.0	0.0	0.0
2014	24.61061946902649	late 1960s beach boys ' brian wilson stops touring produces ` ` pet sounds '' begins lose grip reality 1980s wilson sway controlling therapist finds savior melinda ledbetter	Biography	John Cusack	Paul Dano	Elizabeth Banks	Bill Pohlad	0.0	0.0	Love & Mercy, la véritable histoire de Brian Wilson des Beach Boys	0.0	0.0	0.0
2019	25.805309734513195	56 independent scenes echo draws portrait biting tender modern day iceland often turbulent also exciting time christmas holidays	Drama	Sigurmar Albertsson	Bent Kingo Andersen	Sif Arnarsdóttir	Rúnar Rúnarsson	0.0	0.0	Echo	0.0	0.0	0.0
1989	18.63716814159284	nino tough sickly older brother vicente live country father father disappears ― never sure ― murder suggested vicente brings girlfriend house different kind family established three youngsters grow fiercely protective uncle grows suspicious fate missing father forcibly kidnaps nino taking away city leaving vicente locate	Drama	Pedro Hestnes	Nuno Ferreira	Inês de Medeiros	Pedro Costa	0.0	0.0	Le sang	0.0	0.0	0.0
2000	21.26548672566366	four small gangsters copenhagen trick gangster boss take 4,000,000 kroner supposed bring trying escape barcelona forced stop countryside old wrecked house hiding several weeks slowly one another realize would like stay start new life	Action	Søren Pilmark	Ulrich Thomsen	Mads Mikkelsen	Anders Thomas Jensen	0.0	0.0	Lumières dansantes	0.0	0.0	0.0
1994	19.831858407079647	3a.d . eastern jin dynasty parents dress pretty privileged girl like boy may educated local boarding school falls love poor handsome industrious young man short love affair ends disaster	Comedy	Nicky Wu	Charlie Yeung	Carrie Ng	Hark Tsui	1.0	0.0	The Lovers	0.0	0.0	0.0
2008	23.176991150442472	three siblings struggle deal recent death mother end childhoods unique visions future	Drama	Juliette Binoche	Charles Berling	Jérémie Renier	Olivier Assayas	0.0	0.0	L'heure d'été	0.0	0.0	0.0
1952	9.796460176991076	jed airline pilot resting hotel notices nell young woman babysitting wealthy couple jed gets know nell better realises woman stable perhaps	Drama	Richard Widmark	Marilyn Monroe	Anne Bancroft	Roy Ward Baker	0.0	1.0	Troublez-moi ce soir	0.0	1.0	0.0
2004	22.221238938053066	young man upsets punjabi family falls love irish schoolteacher	Drama	Atta Yaqub	Eva Birthistle	Ahmad Riaz	Ken Loach	1.0	0.0	Just a Kiss	0.0	0.0	0.0
2017	25.32743362831858	account keepers warsaw zoo jan antonina zabinski helped save hundreds people animals nazi invasion	Biography	Jessica Chastain	Johan Heldenbergh	Daniel Brühl	Niki Caro	0.0	0.0	La femme du gardien de zoo	0.0	0.0	0.0
1935	5.734513274336244	marx brothers take high society opera world bring two lovers together sly business manager two wacky friends two opera singers help achieve success humiliating stuffy snobbish enemies	Comedy	Groucho Marx	Chico Marx	Harpo Marx	Sam Wood	-1.0	-1.0	Une nuit à l'opéra	0.0	0.0	0.0
2015	24.849557522123884	1960s turkey countryside newly assigned teacher finds solitary village missing school gets fond village people especially disabled man teacher helps village build new school educate children disabled man	Comedy	Talat Bulut	Mert Turak	Mahsun Kirmizigül	Mahsun Kirmizigül	0.0	0.0	Mucize	0.0	0.0	0.0
1948	8.840707964601766	phillipe son ambassador london idolizes baines father 's butler kind hero eyes child whose perception changes accidentally discovers secret baines keeps witnesses consequences adults ' lies cause	Drama	Ralph Richardson	Michèle Morgan	Sonia Dresdel	Carol Reed	0.0	0.0	Première désillusion	0.0	1.0	0.0
2023	26.761061946902593	5 years learning profession midwife “ beautiful job world ” louise sofia finally entering working life taking huge responsibilities world frenetic pace handle birth motherhood sometimes death vocation resist storm ?	Drama	Khadija Kouyaté	Héloïse Janjaud	Myriem Akheddiou	Léa Fehner	0.0	0.0	Sages-femmes	0.0	0.0	0.0
2001	21.50442477876106	first day job narcotics officer rookie cop works rogue detective n't appears	Crime	Denzel Washington	Ethan Hawke	Scott Glenn	Antoine Fuqua	0.0	0.0	Training Day	0.0	0.0	0.0
1959	11.469026548672488	hiding murderer catholic priest forced self - exile decides embark pilgrimage mexican countryside	Drama	Francisco Rabal	Marga López	Rita Macedo	Luis Buñuel	0.0	0.0	Nazarin	0.0	0.0	0.0
2013	24.37168141592918	new york stockbroker refuses cooperate large securities fraud case involving corruption wall street corporate banking world mob infiltration based jordan belfort 's autobiography	Biography	Leonardo DiCaprio	Jonah Hill	Margot Robbie	Martin Scorsese	2.0	0.0	Le Loup de Wall Street	0.0	0.0	0.0
1968	13.619469026548604	singer deaf - mute whose small world brings contact young girl mick cherishes seemingly hopeless dream becoming concert pianist first hostile mick soon becomes friends singer hoping enlarge small world three central characters come singer help also seeing powerful force	Drama	Alan Arkin	Sondra Locke	Chuck McCann	Robert Ellis Miller	1.0	-1.0	Le coeur est un chasseur solitaire	0.0	0.0	0.0
1957	10.991150442477881	military investigator colonel edwards assigned case involving major cargill korean war pow accused treason although cargill admits guilt edwards ' superiors impatiently pushing edwards move case court martial edwards becomes convinced cargill 's innocence	Drama	Richard Widmark	Richard Basehart	Dolores Michaels	Karl Malden	0.0	0.0	La chute des héros	0.0	0.0	0.0
1944	7.88495575221236	wake pearl harbor young lieutenant leaves expectant wife volunteer secret bombing mission take war japanese homeland	Drama	Spencer Tracy	Van Johnson	Robert Walker	Mervyn LeRoy	-1.0	0.0	30 Secondes sur Tokio	0.0	0.0	0.0
2018	25.56637168141589	mysterious thunderstorm vera young mother manages save life danger good deed causes disturbing chain unexpected consequences	Drama	Adriana Ugarte	Chino Darín	Javier Gutiérrez	Oriol Paulo	0.0	0.0	Mirage	0.0	1.0	0.0
1928	4.06194690265483	john ambitious undisciplined new york city office worker meets marries mary start family struggle cope marital stress financial setbacks tragedy lost amid anonymous pitiless throngs big city	Drama	Eleanor Boardman	James Murray	Bert Roach	King Vidor	-1.0	0.0	La foule	0.0	0.0	0.0
1963	12.42477876106189	nineteen - year - old julio heads lisbon provinces gets job shoemaker uncle raul meets ilda confident young housemaid becomes regular shop visitor working - class values collide bourgeois trappings modern life	Drama	Isabel Ruth	Rui Gomes	Paulo Renato	Paulo Rocha	1.0	0.0	Les vertes années	0.0	0.0	0.0
1975	15.292035398230016	look life renegade yakuza rikio ishikawa particularly years 1946 1950 violent antics get trouble clan kawada clan protector kozaburo imai years rely chieko young tokyo courtesan gives shelter 's banished osaka picks drug habit keeps friends enemies balance unpredictable behavior seems indestructible	Action	Tetsuya Watari	Tatsuo Umemiya	Yumi Takigawa	Kinji Fukasaku	0.0	0.0	Le Cimetière de la morale	0.0	1.0	0.0
1981	16.725663716814125	bride elopes lover day wedding groom follows two lovers knife fight takes place rivals stab wedding takes place one knotting destinies together death blood wedding	Drama	Antonio Gades	Cristina Hoyos	Juan Antonio Jiménez	Carlos Saura	1.0	0.0	Noces de sang	0.0	0.0	0.0
2003	21.982300884955666	township near cape town two young teens madiba sipho find gun camera sipho takes gun madiba camera sealing fate	Family	Junior Singo	Dana de Agrella	Innocent Msimango	Ntshaveni Wa Luruli	1.0	0.0	La caméra de bois	0.0	0.0	0.0
1947	8.601769911504366	charley davis wishes mother becomes boxer becomes successful fighter becomes surrounded shady characters including unethical promoter named roberts tempt man number vices charley finds faced increasingly difficult choices	Drama	John Garfield	Lilli Palmer	Hazel Brooks	Robert Rossen	0.0	0.0	Sang et or	0.0	0.0	0.0
1942	7.407079646017654	posse discovers trio men suspect murder cow theft split handing law lynching spot	Drama	Henry Fonda	Dana Andrews	Mary Beth Hughes	William A. Wellman	0.0	0.0	L'étrange incident	0.0	0.0	1.0
1966	13.141592920353897	ornithologist mistaken explosives expert sent alone small french town wwi investigate garbled report resistance bomb departing germans set blow weapons cache	Comedy	Alan Bates	Geneviève Bujold	Pierre Brasseur	Philippe de Broca	0.0	0.0	Le Roi de cœur	0.0	0.0	0.0
1991	19.115044247787544	cesare botero ambitious corrupt young minister hires new spokesman honest polite high school professor luciano sandulli	Comedy	Silvio Orlando	Nanni Moretti	Giulio Brogi	Daniele Luchetti	0.0	0.0	Le porteur de serviette	0.0	0.0	0.0
2023	26.761061946902593	remote village el echo exists outside time children care sheep elders frost drought punish land learn understand death illness love act word silence parents story echo clings soul certainty shelter provided around us rebellion vertigo face life growing	Documentary	Montserrat Hernandez	María de los Ángeles Pacheco Tapia	Luz María Vázquez González	Tatiana Huezo	0.0	-1.0	L'écho	0.0	0.0	-1.0
1981	16.725663716814125	1897 castle near town werewolfville carpithians slightly deranged professor orfanik experiments new inventions include even early date television film camera also obsessed opera fan keeps body favorite diva preserved crypt castle order keep away nosy visitors baron 's mad - scientist assistant invents sorts spooky phenomena order give castle creepy reputation	Adventure	Michal Docolomanský	Evelyna Steimarová	Vlastimil Brodský	Oldrich Lipský	0.0	0.0	Le secret du château dans les Carpates	0.0	1.0	0.0
2014	24.61061946902649	marie heurtin born blind deaf sister marguerette wins trust teaches express	Biography	Isabelle Carré	Ariana Rivoire	Brigitte Catillon	Jean-Pierre Améris	2.0	1.0	Marie Heurtin	0.0	0.0	0.0
2018	25.56637168141589	upon realizing extent women affected menses man sets create sanitary pad machine provide inexpensive sanitary pads women rural india	Comedy	Akshay Kumar	Radhika Apte	Sonam Kapoor	R Balki	0.0	0.0	Padman	0.0	0.0	0.0
2020	26.0442477876106	spring 1995 closure needle park public drug scene zurich eleven - year - old mia heroin addicted mother sandrine relocated countryside caring mother mia spends time imaginary friend gang local teenage misfits friendships finally give strength rebel break free abusive mother	Drama	Jerry Hoffmann	Sarah Spale	Luna Mwezi	Pierre Monnard	0.0	0.0	Les enfants du Platzspitz	0.0	0.0	0.0
1996	20.309734513274254	baran bandit released prison serving 35 years searches vengeance former best friend betrayed stole lover teaming young punk demons along way	Crime	Sener Sen	Ugur Yücel	Sermin Hürmeriç	Yavuz Turgul	0.0	0.0	Eskiya le bandit	0.0	1.0	0.0
1960	11.707964601769888	oklahoma 1920s rubin flood loses job traveling salesman company goes bankrupt adds worries home wife cora frigid trying make ends meet teenage daughter reenie afraid going dates eventually makes friends troubled jewish boy sammy golden son mama 's boy finally storms house cora falsely accuses affair mavis pruitt	Drama	Robert Preston	Dorothy McGuire	Eve Arden	Delbert Mann	0.0	0.0	The Dark at the Top of the Stairs	0.0	0.0	0.0
1992	19.353982300884944	a - kuo a - tou teen - aged boys living industrial town taiwan school generally hang buddy hsiao kao stylish charismatic younger gangster enjoys company support one hsia kao 's gangland patrons gunned trio set revenge killing result two teens forced hiding one boy tells dad wants go america nearly kills old man lays low things cool bit head taipei looking gangster friend sampling gritty pleasures capital city 's underworld nightlife clarke fountain rovi	Action	Shih Chang	Sung-Young Chen	Jack Kao	Hsiao-Ming Hsu	1.0	0.0	Shao nian ye, an la!	0.0	0.0	0.0
2016	25.088495575221188	japan 1943 world war ii young suzu leaves village near hiroshima marry live in - laws kure military harbor creativity overcome deprivation quickly makes indispensable home inhabited ancestral wisdom suzu impregnates simple gestures everyday life poetry beauty many hardships loss loved ones frequent air raids enemy nothing alters enthusiasm …	Animation	Non	Ava Pickard	Kenna Pickard	Sunao Katabuchi	0.0	0.0	Dans un recoin de ce monde	0.0	0.0	0.0
2018	25.56637168141589	purehearted teen lazzaro content living sharecropper rural italy unlikely friendship marquise son change world	Drama	Adriano Tardiolo	Agnese Graziani	Alba Rohrwacher	Alice Rohrwacher	0.0	0.0	Heureux comme Lazzaro	0.0	0.0	0.0
1938	6.451327433628249	pair blind masseurs enigmatic city woman lonely man ill - behaved nephew — the masseurs woman made crisscrossing miniature studies love family remote resort mountains delicate surprising humor hiroshi shimizu paints timeless portrait loneliness human need connect	Drama	Mieko Takamine	Shin Tokudaiji	"""Shinichi Himori"""	Hiroshi Shimizu	0.0	0.0	Une femme et ses masseurs	0.0	0.0	0.0
2015	24.849557522123884	three different love stories set three consecutive decades two neighbouring balkan villages burdened long history inter - ethnic hatred film dangers – enduring strength – forbidden love	Drama	Tihana Lazovic	Goran Markovic	Nives Ivankovic	Dalibor Matanic	0.0	0.0	Soleil de plomb	0.0	0.0	0.0
1935	5.734513274336244	kimiko tokyo white - collar working girl lives serious intellectual haiku - writing mother kimiko seeks marry boyfriend needs absent father act go - between negotiate marriage kimiko travels finds father living second family	Drama	Sachiko Chiba	Yuriko Hanabusa	Toshiko Itô	Mikio Naruse	0.0	0.0	Ma femme, sois comme une rose	0.0	0.0	0.0
1968	13.619469026548604	third series films featuring françois truffaut 's alter - ego antoine doinel story resumes antoine discharged military service sweetheart christine 's father lands antoine job security guard promptly loses stumbling position assisting private detective antoine falls employers ' seductive wife fabienne finds must choose older woman christine	Comedy	Jean-Pierre Léaud	Claude Jade	Delphine Seyrig	François Truffaut	-1.0	0.0	Baisers volés	0.0	0.0	0.0
1977	15.76991150442472	peanuts gang including snoopy woodstock gone summer camp days usual summer - camp activities take part rafting race battling treacherous rapids wild animals bullies rival tent teams make way downriver finish line	Adventure	Duncan Watson	Greg Felton	Stuart Brotman	Bill Melendez	0.0	0.0	Les galères de Charlie Brown	0.0	0.0	0.0
1949	9.079646017699066	young by - the - book judge appointed sicilian village controlled corrupt leaders mafia	Crime	Massimo Girotti	Charles Vanel	Jone Salinas	Pietro Germi	0.0	0.0	Au nom de la loi	0.0	0.0	0.0
2018	25.56637168141589	10 - year old girl 's christmas plans take unexpected turn brought mysterious estonian farm	Drama	Paula Rits	Siim Oskar Ots	Liis Lemsalu	Anu Aun	0.0	0.0	Noël dans la forêt de la chouette	0.0	0.0	0.0
1971	14.336283185840706	tough narcotics detective ' popeye ' doyle hot pursuit suave french drug dealer may key huge heroin - smuggling operation	Action	Gene Hackman	Roy Scheider	Fernando Rey	William Friedkin	0.0	0.0	French Connection	0.0	1.0	0.0
1977	15.76991150442472	beautiful young heiress kajal daughter wealthy industrialist kishorilal fond memories childhood male friend sanjay would like meet get married thereby fulfill promise made children meets eligible young man identifies manjeet kumar tana likes young man assures introduce childhood sweetheart next day goes meet sanjay shocked find young man claiming manjeet manager gets meet real manjeet eventually fall love kajal 's heart broken finds manjeet 's real name rajesh part deceptive plot involves abduction	Action	Rishi Kapoor	Tariq	Kaajal Kiran	Nasir Hussain	1.0	0.0	Je ne suis pas moins que les autres	0.0	0.0	0.0
1969	13.858407079646003	young english working - class boy spends free time caring training pet falcon	Drama	David Bradley	Brian Glover	Freddie Fletcher	Ken Loach	0.0	0.0	Kes	0.0	0.0	0.0
1962	12.18584070796459	middle - aged plumber quits job questions life seeing somebody age suddenly die heart attack way work	Drama	Salvo Randone	Franco Sportelli	Regina Bianchi	Elio Petri	0.0	0.0	Les jours comptés	0.0	0.0	0.0
1988	18.398230088495538	story moscow 's apartment building slowly falling apart literally first hot water cut old man asia could stand wasted roof starting collapse finally electricity cut tenants building matter different find situation	Comedy	Asankul Kuttubayev	Sergey Dreyden	Zhanna Kerimtayeva	Yuri Mamin	0.0	0.0	Délit de fuites	0.0	0.0	0.0
1995	20.07079646017695	shanghai china 1930 . young shuisheng arrives countryside uncle liushu puts service bijou mistress laoda supreme boss tang triad constantly threatened enemies knows lurking shadows	Crime	Gong Li	Baotian Li	Xiaoxiao Wang	Yimou Zhang	0.0	0.0	Shanghai Triad	0.0	0.0	0.0
2016	25.088495575221188	damien lives mother marianne doctor father pilot tour duty abroad french military school damien bullied thomas lives farming community mountains boys find living together marianne invites thomas come stay mother ill hospital damien must learn live boy terrorized	Drama	Sandrine Kiberlain	Kacey Mottet Klein	Corentin Fila	André Téchiné	0.0	0.0	Quand on a 17 ans	0.0	0.0	0.0
2007	22.938053097345072	lives six german - turkish immigrants drawn together circumstance old man prostitute forging partnership young scholar reconciling past two young women falling love mother putting shattered pieces life back together	Drama	Baki Davrak	Gürsoy Gemec	Cengiz Daner	Fatih Akin	-1.0	0.0	De l'autre côté	0.0	0.0	0.0
1997	20.548672566371653	roseanna dying heart condition wants buried next daughter cemetery getting full fast cemetery ca n't expand capestro man owns land next cemetery wo n't sell marcello good deeds make sure one dies roseanna thinks marcello 's future	Comedy	Jean Reno	Mercedes Ruehl	Polly Walker	Paul Weiland	0.0	0.0	Pour l'amour de Roseanna	0.0	0.0	0.0
2007	22.938053097345072	second impact tokyo-3 attacked giant monsters called angels seek eradicate humankind child shinji 's objective fight angels piloting one mysterious evangelion mecha units remake first six episodes gainax 's famous 1996 anime series film retitled ` ` evangelion 1.01 '' home video version ` ` evangelion 1.11 '' release additional scenes	Action	Megumi Ogata	Megumi Hayashibara	Kotono Mitsuishi	Hiroshi Haraguchi	1.0	0.0	Evangelion: 1.0 You Are (Not) Alone	0.0	1.0	0.0
1961	11.946902654867188	johnnie byrne member british parliament 40s 's feeling frustrated life personal well professional problems tower desires win next election endangered constant looking love faced choice giving career politics giving woman loves	Drama	Peter Finch	Stanley Holloway	Mary Peach	Ralph Thomas	0.0	0.0	Pas d'amour pour Johnny	0.0	0.0	0.0
2016	25.088495575221188	james bowen homeless busker recovering drug addict life transformed meets stray ginger cat	Biography	Luke Treadaway	Bob the Cat	Ruta Gedmintas	Roger Spottiswoode	-1.0	0.0	Un chat pour la vie	0.0	0.0	0.0
1956	10.752212389380482	unknown everyone shady middle eastern bosses watchmaker hawkins actually professional hired assassin predilection killing targets bombs disposing dictator millionaire hawkins assigned kill politician heading remote hotel green man secret tryst secretary however hawkins ' plot discovered vacuum salesman william blake determines stop	Comedy	Alastair Sim	George Cole	Terry-Thomas	Robert Day	0.0	0.0	Une bombe pas comme les autres	0.0	0.0	0.0
2019	25.805309734513195	marine veteran working school janitor tries mend relationship son divorce son killed police officer found innocent without standing trial takes matters hands	Drama	Nate Parker	Omari Hardwick	Beau Knapp	Nate Parker	1.0	0.0	American Skin	0.0	0.0	0.0
1978	16.00884955752212	eagle chief yoh xi - hung raises orphans personal killers one chik ming - sing wants put killer life behind eagle clan come stranger called cheuk comes assistance turns cheuk son family robbed murdered eagles team destroy evil clan	Action	Sheng Fu	Lung Ti	Ku Feng	Chung Sun	0.0	-1.0	La vengeance de l'aigle de Shaolin	0.0	0.0	0.0
1928	4.06194690265483	high school students led girl boy turn christianity toward secret atheistic meetings girl accidentally killed stairway collapse girl boy go reform school treated brutally	Drama	Lina Basquette	Marie Prevost	Tom Keene	Cecil B. DeMille	0.0	0.0	La fille sans dieu	0.0	0.0	0.0
1963	12.42477876106189	three best friend going spend vacation sea shore arrive usual place suddenly find spot already occupied two beautiful girls	Comedy	Natalya Kustinskaya	Natalya Fateeva	Andrey Mironov	Genrikh Oganisyan	0.0	0.0	Troix plus Deux	0.0	0.0	0.0
2004	22.221238938053066	montreal teenagers manon anne isa claudie sophie friends since childhood spending couple days cottage sophie 's parents nearby lake girls decide give party manon sophie hitch ride town jeep buy beers supplies invite driver party return driver stops car later sophie found stabbed raped covered blood fifteen years later manon sees guy car - wash invites former friends return house nearby lake wounds traumatic loss disclosed	Crime	Jacinthe Laguë	Julie Deslauriers	Ingrid Falaise	Ghyslaine Côté	1.0	0.0	Elles étaient cinq	0.0	0.0	0.0
1986	17.920353982300835	brad whitewood jr . lives rural pennsylvania prospects mother 's wishes seeks estranged father head gang thieves nearby town though new girlfriend supports criminal ambitions brad jr . soon learns father dangerous man inspired real events led end johnston gang operated northeastern united states 1970s	Crime	Sean Penn	Christopher Walken	Mary Stuart Masterson	James Foley	0.0	0.0	Comme un chien enragé	0.0	1.0	0.0
1926	3.5840707964601273	seductive woman forsakes husband lover pursue young engineer	Drama	Greta Garbo	Antonio Moreno	Marc McDermott	Fred Niblo	-1.0	0.0	La tentatrice	0.0	0.0	0.0
2003	21.982300884955666	aso family live old town nara one day kei one aso 's twin boys suddenly disappears five years later seventeen - year old shun remaining twin art student move forward life together childhood friend yu	Drama	Kohei Fukungaga	Yuka Hyodo	Naomi Kawase	Naomi Kawase	0.0	0.0	Shara	0.0	0.0	0.0
1963	12.42477876106189	wishing find peace zatoichi travels old village finds trouble ends love triangle finds old scores followed home	Action	Shintarô Katsu	Mikiko Tsubouchi	Seizaburô Kawazu	Tokuzô Tanaka	0.0	0.0	La légende de Zatoïchi - Un nouveau voyage	0.0	0.0	0.0
1966	13.141592920353897	history professor wife entertain young couple new university 's faculty drinks flow secrets come light middle - aged couple unload onto guests full force bitterness dysfunction animosity defines marriage	Drama	Elizabeth Taylor	Richard Burton	George Segal	Mike Nichols	0.0	0.0	Qui a peur de Virginia Woolf?	0.0	0.0	0.0
1988	18.398230088495538	untimely death newly dead new england couple seek help deranged demon exorcist scare affluent new york family home	Comedy	Alec Baldwin	Geena Davis	Michael Keaton	Tim Burton	0.0	0.0	Beetlejuice	0.0	0.0	0.0
2017	25.32743362831858	30 - ish rich kid lenny take care 15 - year - old david suffering heart disease beginning wild adventure lenny fearlessly breaks rules fulfill young friend every wish	Comedy	"""Elyas MBarek"""	Philip Schwarz	Nadine Wrietz	Marc Rothemund	0.0	0.0	Frères de Cœur	0.0	0.0	0.0
1952	9.796460176991076	attending suicidal young man dr richard learns wife unfaithful years comes shock 10 years supposedly happy marriage back home demands answers madeleine long night explanations ensues	Drama	Michèle Morgan	Jean Gabin	Daniel Gélin	Jean Delannoy	0.0	-1.0	La minute de vérité	0.0	0.0	0.0
1999	21.026548672566356	latest battle eternal war good evil come new jersey late late 20th century angels demons apostles prophets sort walk among cynics innocents america duke fate humankind	Adventure	Ben Affleck	Matt Damon	Linda Fiorentino	Kevin Smith	0.0	0.0	Dogma	0.0	0.0	0.0
